	Score	MoE	P-Value	Q-Value
IPA_FOXM1_DN	-0.3278574146702765	0.2169614247452596	0.18001752040204713	1.0
IPA_LEF1_DN	-0.3367280465120229	0.25922773283311057	0.17400064548849647	1.0
IPA_GLI1_DN	-0.3400589474372166	0.2159349102879491	0.17181981649684172	1.0
IPA_AHRR_UP	-0.3430513153643109	0.16835173746667467	0.16971736825118725	1.0
IPA_SIRT2_UP	-0.343952197194847	0.27402464284929634	0.16909032228318502	1.0
IPA_DDIT3_UP	-0.34704801365949556	0.10708947317939527	0.16683111254552999	1.0
IPA_HIF1AN_DN	-0.3498402177719069	0.3408669985607638	0.16505140854811196	1.0
IPA_YY1_UP	-0.3530733509094688	0.33404935706921485	0.16281525197104524	1.0
IPA_RARG_DN	-0.35826557531825654	0.3086326087969154	0.15935266725068006	1.0
IPA_NR2C1_DN	-0.36313756210095666	0.3949112182097913	0.1560284014938448	1.0
IPA_ATF2_DN	-0.3697827907463051	0.26546197606660976	0.15103508691041542	1.0
IPA_NCL_UP	-0.3734606418729755	0.31863292861748177	0.14845774355664162	1.0
IPA_PCGF2_DN	-0.3734921991038204	0.32179076085087893	0.1484208584997003	1.0
IPA_TP73_UP	-0.3745491441000256	0.24682334701417516	0.14778459126746277	1.0
IPA_RARB_DN	-0.3792397027108852	0.3731347665690434	0.14431739591497994	1.0
IPA_NFKBIA_DN	-0.38096247969391916	0.26282300028137356	0.1430402508183872	1.0
IPA_RPA2_UP	-0.38140500127200555	0.3544294471739003	0.14274517036285675	1.0
IPA_HSF1_DN	-0.3814471947204036	0.2936565924859991	0.14270828530591545	1.0
IPA_CHD4_UP	-0.3828476171209982	0.42410409276546845	0.14160173359767625	1.0
IPA_POU5F1_DN	-0.38551959170557804	0.13548125058685365	0.13964221494766932	1.0
IPA_SOX5_UP	-0.3869906929907615	0.3429164647680096	0.13866015030660703	1.0
IPA_CDK9_UP	-0.3875860888023078	0.18069428969484003	0.13829129973719398	1.0
IPA_ATF6_DN	-0.39227365325212554	0.2561052858164525	0.13511457420812392	1.0
IPA_NF1_UP	-0.394371972841528	0.18994503908772956	0.13366222509106	1.0
IPA_TCF7_UP	-0.4049796029930131	0.1767482655280115	0.1259670800866799	1.0
IPA_HDAC5_UP	-0.4213094857484795	0.18491370200174242	0.11582830005993822	1.0
IPA_MYOCD_DN	-0.42133857402322	0.2736276674469749	0.11580985753146757	1.0
IPA_RBL2_UP	-0.4228160742710986	0.1964387169752585	0.11492000553275854	1.0
IPA_ESRRA_DN	-0.4302859233356159	0.41722615844505656	0.11050763059615473	1.0
IPA_KLF5_UP	-0.4353511621784597	0.22429211865965346	0.10783346396791	1.0
IPA_HIST1H1A_UP	-0.43569977947888694	0.3459464155575587	0.10759832172990917	1.0
IPA_YBX1_UP	-0.4384914240164169	0.08224402884948555	0.10621513209461017	1.0
IPA_STAT5A_DN	-0.4533849873508212	0.362169454735523	0.09837244686246484	1.0
IPA_XBP1_UP	-0.46089700589697247	0.13739869613415168	0.09499746415233529	1.0
IPA_BRCA1_UP	-0.46233633896482756	0.12379857655061721	0.09437963944856839	1.0
IPA_BCL6_DN	-0.4716641460661152	0.10100545828926534	0.09053437226243718	1.0
IPA_IRF2_UP	-0.4729440471467936	0.23087744424847925	0.08999492830467057	1.0
IPA_NFATC2_DN	-0.4734741253062938	0.2502079684693171	0.08980128175572871	1.0
IPA_ATF6B_UP	-0.4756462205679251	0.2581309274554849	0.08897136797454931	1.0
IPA_NFATC2_UP	-0.4827306746784481	0.2943710100371345	0.08634791829959887	1.0
IPA_IRF9_DN	-0.4879859108667755	0.07382003256643115	0.08438839964959195	1.0
IPA_STAT5B_DN	-0.529632960854102	0.1342222356306865	0.07068560099589653	1.0
IPA_PGR_UP	-0.5376586137278894	0.21491341455752086	0.06817280649177002	1.0
IPA_BARX2_UP	-0.5524994419162823	0.08109432795166656	0.06369127207340126	1.0
IPA_GATA3_DN	-0.5598430495289752	0.39106461560774447	0.06148277928904053	1.0
IPA_KDM5B_UP	-0.5624442157458523	0.10545104350114366	0.06079118447139103	1.0
IPA_SP3_DN	-0.5631889501871976	0.2457307236165723	0.06057448476186085	1.0
IPA_MYCBP_UP	-0.5790131494197748	0.16876857901303047	0.05620360551431601	1.0
IPA_MNT_DN	-0.5930982520735548	0.1439244704766137	0.05254276361289133	1.0
IPA_TBX21_UP	-0.594222276677186	0.10293462052961182	0.052220019364654896	1.0
IPA_PRKCD_UP	-0.6006222104698603	0.2694136220470121	0.05055558117017843	1.0
IPA_JUND_DN	-0.6031408401581718	0.2856466836885551	0.04991931393794089	1.0
IPA_NFE2L2_UP	-0.612045872632109	0.10819077677685557	0.047835308220757065	1.0
IPA_MYCN_DN	-0.627175356425388	0.07638046146877274	0.044280510858038635	1.0
IPA_ERG_UP	-0.6401571309946036	0.237642328906406	0.04138964452026373	1.0
IPA_PARP1_UP	-0.6442803127675848	0.13828656062976566	0.040462907464613396	1.0
IPA_MED1_UP	-0.656475402846003	0.12115900120554814	0.03751671354142653	1.0
IPA_PML_DN	-0.6737009460142204	0.06614230932445213	0.03380976531882521	1.0
IPA_PDX1_DN	-0.681993850485667	0.4234225679686045	0.032043893217760154	1.0
IPA_IRF5_UP	-0.6920381014016376	0.14134294544115167	0.029969108764811656	1.0
IPA_NFKB2_UP	-0.6977628325500097	0.08747244008624945	0.02888561021716077	1.0
IPA_HDAC4_UP	-0.7001721247652494	0.10317532963719772	0.02836921941998248	1.0
IPA_SP4_DN	-0.7053353066615095	0.11060677647131206	0.027405597307390842	1.0
IPA_NFKB2_DN	-0.709604872616846	0.07181702108964011	0.02655724099774079	1.0
IPA_MYBL2_UP	-0.7150648999135575	0.01863796482989555	0.02558900825303149	1.0
IPA_STAT2_UP	-0.7209223447877051	0.03792988233279205	0.024648439301028172	1.0
IPA_PML_UP	-0.7623520318751008	0.05400425464099003	0.018175111807828853	1.0
IPA_FOSL1_DN	-0.8019722564090017	0.02652857788778409	0.013112637742634515	1.0
IPA_GFI1_UP	-0.8261519903444078	0.03346606250849032	0.010392364793213149	1.0
IPA_STAT6_DN	-0.8462506307597016	0.01337812100902734	0.008110101894969801	1.0
IPA_KDM1A_DN	-0.8485350484840272	0.015168887581320593	0.007828853335792337	1.0
IPA_NRL_UP	-0.8607636011101776	0.051449257198327214	0.006450274332611001	1.0
IPA_NCOA3_UP	-0.8791633771788627	0.0279671258868303	0.0044446493614274515	1.0
IPA_ATF3_DN	-0.8981676644481033	0.0035075786902979173	0.002503573239891189	1.0
