	Score	MoE	P-Value	Q-Value
IPA_FOXP1_DN	0.2983543671503114	0.3525252124923704	0.31024100196090837	1.0
IPA_GATA6_UP	0.2950706267243707	0.19586974273633204	0.31361249920931117	1.0
IPA_CEBPA_DN	0.293361077234939	0.28549279501704977	0.31532038712126004	1.0
IPA_KLF10_DN	0.2874472522964657	0.273953195464752	0.3208235815042065	1.0
IPA_RFXANK_UP	0.28728269829449676	0.42745682004672797	0.32096274274147635	1.0
IPA_HNF1A_UP	0.2825965420472959	0.2558636539909485	0.32526409007527357	1.0
IPA_STAT4_DN	0.2782752956194932	0.2579055669245321	0.329173255740401	1.0
IPA_HIST1H1C_DN	0.2700597799819537	0.2780214380355367	0.3369251692074135	1.0
IPA_NFKB1_DN	0.26825462593864247	0.29506738618407996	0.33854766272376496	1.0
IPA_CREB1_UP	0.2681073469075271	0.3051615855359305	0.33869947498260483	1.0
IPA_RUNX2_UP	0.2672869043079286	0.3689500875530545	0.3395154658738693	1.0
IPA_HDAC1_DN	0.2668684462997321	0.18418794763210342	0.3399550888734265	1.0
IPA_REL_DN	0.26634031707578465	0.226335991179076	0.3404959200455437	1.0
IPA_MAPK8IP1_UP	0.2615676023373848	0.27324172741231595	0.34506610158770323	1.0
IPA_STAT2_DN	0.25934640559550026	0.23972589577246317	0.3473021696501993	1.0
IPA_PAX7_UP	0.2589890721826032	0.19709763913815814	0.34761844518944907	1.0
IPA_SMARCB1_UP	0.2574155413398896	0.18493140740058447	0.34913973053324054	1.0
IPA_FOXP3_DN	0.25514603419464815	0.4112651972482855	0.3511955215383642	1.0
IPA_PITX2_UP	0.25429311377609115	0.3947940798052445	0.3520557910051237	1.0
IPA_ASCL1_UP	0.2508395138734552	0.3694792671809914	0.35541147447656396	1.0
IPA_PPARG_DN	0.24824455762330486	0.35683448162450043	0.35792586501359985	1.0
IPA_SPDEF_DN	0.24691414737390846	0.30279747208833546	0.359235245746094	1.0
IPA_RUNX1_UP	0.24449092884716206	0.2175114287762251	0.36165159086596244	1.0
IPA_HES1_UP	0.24162958009619798	0.36282370165316274	0.3643620722373332	1.0
IPA_SKI_DN	0.2415514816985768	0.21706884826534825	0.3644474666329306	1.0
IPA_RB1_DN	0.24148458434959183	0.31992795614003233	0.3645107217407806	1.0
IPA_PGR_DN	0.2277213677172252	0.1571238986038079	0.37873679549623634	1.0
IPA_ARNTL_UP	0.22355215907591208	0.4121816714641911	0.3830887469163135	1.0
IPA_SP7_UP	0.22349125771875822	0.2550265107204271	0.38315516477955597	1.0
IPA_NANOG_DN	0.22248307030290673	0.39512451750728705	0.3841261306850528	1.0
IPA_MYOCD_UP	0.22092481462419203	0.25200086476443756	0.38581504206464673	1.0
IPA_SRF_DN	0.2205191623940373	0.291495694477465	0.38626415333038144	1.0
IPA_HR_DN	0.21839481039828104	0.4069968026789963	0.3884938958820925	1.0
IPA_FOXA1_DN	0.2077984755810808	0.4038417310365537	0.4001454867480549	1.0
IPA_SMARCA4_DN	0.2044377269448024	0.35867353473898933	0.403880700866595	1.0
