	Score	MoE	P-Value	Q-Value
GNF2_CDH11	0.42028936718378784	0.08322794217131715	0.19052754759946866	1.0
GNF2_ANK1	0.42024435344411143	0.2166682509142566	0.19058131444114113	1.0
GNF2_SPTB	0.42024435344411143	0.2166682509142566	0.19058131444114113	1.0
MODULE_154	0.42004493723930014	0.2602791380051342	0.19076159149851352	1.0
MORF_WNT1	0.41788130335489143	0.305902253072261	0.19270036055411474	1.0
GNF2_SPINK1	0.4171834834858487	0.17845896520112248	0.19335505092036182	1.0
GNF2_IGFBP1	0.4153339855518853	0.2008523013302461	0.19482573217787336	1.0
MODULE_215	0.4123899403141381	0.211820552037598	0.19740654057815168	1.0
MODULE_445	0.410374995495121	0.27346484921147274	0.19918084635334304	1.0
MODULE_65	0.40980943458948044	0.25589256122501153	0.1996932127269277	1.0
MORF_RAB3A	0.4058584785982707	0.1993650875236542	0.20321652223417042	1.0
MORF_ERCC4	0.3986844155974028	0.2640630738284893	0.21050351065848566	1.0
MODULE_148	0.39790719024954013	0.22352900350233973	0.2112594091972927	1.0
MODULE_563	0.39788160080106166	0.19692902258735714	0.21127522297425516	1.0
MORF_NF1	0.39245228191127873	0.19719325915285058	0.21667404642924917	1.0
MODULE_343	0.39027165082014853	0.3022988202850852	0.21883737111771775	1.0
MODULE_316	0.38852725822794504	0.3543614321859716	0.22065279271301158	1.0
CAR_TNFRSF25	0.3872012934513838	0.2559427037268275	0.2220064520210007	1.0
MODULE_421	0.38695052892669624	0.2419163639627596	0.22228161174014802	1.0
MODULE_107	0.38609661889900854	0.2914674792314007	0.22306597507748752	1.0
GNF2_PCAF	0.38523485407425323	0.09144734339899586	0.22400531342905938	1.0
GNF2_MMP1	0.38430748995764275	0.09192991719078654	0.22494781453602378	1.0
MORF_NOS2A	0.3833635291975547	0.12214637314568393	0.2259820355493706	1.0
MODULE_462	0.37940710062717403	0.10773739639380096	0.23010310582579543	1.0
MORF_TNFRSF6	0.37936337331067016	0.19145951675921388	0.2301473844012904	1.0
MODULE_59	0.37807364716126945	0.39859819618456327	0.23137769624897211	1.0
MODULE_111	0.37696965760087797	0.3732339166403023	0.2326364728951863	1.0
MODULE_186	0.3750511271773096	0.16431648926180126	0.23465747359099248	1.0
GNF2_CEBPA	0.374704856252297	0.2464354951248142	0.23502751597191474	1.0
GNF2_EGFR	0.37357499144645046	0.24791268167718505	0.23609336453918653	1.0
MODULE_117	0.3732921238582932	0.25322894709410537	0.23640647732304385	1.0
