Gene	S1	S2	S3	S4	S5	S6	S7	S8
ABCF1	-0.5217204476600948	-0.5503129460798677	-0.6134278005671273	-0.48580199809426344	-0.5845921465046685	-0.5661379286507915	-0.4670631283619987	-0.4022830845195072
ABCF2	-0.3395359420414624	-0.07682521745985993	-0.37863960636539795	0.00854743934045387	0.15119977264914472	-0.38031113505484637	0.05156049919713787	-0.21448842765773443
ABCF2-H2BE1	3.137895031405125	3.5341542322989703	3.1375033523554605	2.9446903029963445	3.4898561700774238	3.1864666481507977	3.249121505385599	2.8589615248625546
ABCF2P1	-0.5705644115930288	-0.5969002605138214	-0.6134450475771975	-0.6161128255045877	-0.606559662224506	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ABCF3	0.4095621809287195	0.3819984057500237	0.33529091766633323	0.5070794299332037	-0.06916798818562755	0.363771452346195	0.2148508945460469	0.15773100786574215
ABCG1	-0.5954371570952625	-0.5969002605138214	-0.5377044590271419	-0.6653908487902997	-0.6308779003700814	-0.6277553246066079	-0.29055835193871504	-0.6717911417961083
ABCG2	-0.4971974827722874	-0.15525076537810004	-0.6134450475771975	-0.6653908487902997	-0.6308779003700814	-0.4271212853355303	-0.6407628351460615	-0.6529135261686843
ABCG8	-0.5357091075518119	-0.47424040818112034	-0.5156425317503722	-0.5732324270467514	-0.547376543189047	-0.5730711252258349	-0.44092936880434	-0.5027280019115414
ABHD1	-0.37064145505158763	-0.3115723965899505	-0.6134450475771975	-0.42894477253463675	-0.34099442693816623	-0.2486906450990145	-0.24567964898408493	-0.4117827452418509
ABHD10	0.5888542276487908	1.3063553775935968	1.287175845468343	1.1827363646793172	1.0207164130565762	1.706267055724557	1.0033700920412065	1.676194661325486
ABHD11	0.052075482146417496	0.11155108751762408	-0.11087104990042056	0.22825765070330642	-0.16616410253047362	0.2625330012719571	0.16258228695839247	-0.08127851894853023
ABHD11-AS1	-0.5954371570952625	-0.49014158955139625	-0.6134450475771975	-0.43695105570162585	-0.6308779003700814	-0.5524552807534171	-0.5902983060516063	-0.6717911417961083
ABHD12	0.2892157690563378	0.21137073912346116	-0.138299010141798	0.045900994472924894	0.03492613080498575	-0.1695747250454899	0.18741066364407405	-0.3376975016321342
ABHD12B	-0.5805489823904059	-0.5969002605138214	-0.6134450475771975	-0.5791293666876893	-0.6027226723602475	-0.600291934119972	-0.6407628351460615	-0.6512148366149416
ABHD14A	0.5075069590536925	0.7071701683034695	0.5736910830064886	0.44519811488664596	0.44555355508332084	0.5105122837506725	0.4416564342332754	0.606942192269684
ABHD14B	0.29268215398753444	0.8319345596970479	1.190704990173867	0.9479536746558767	1.1154788826345048	1.3393529808826572	0.7778075976005264	0.6652196991509289
ABHD16A	-0.5954371570952625	-0.5930489815981134	-0.6134450475771975	-0.6488444300594947	-0.6308779003700814	-0.5923934350785665	-0.6407628351460615	-0.6559024069276226
ABHD16B	0.8805401259829888	1.2119503748430855	0.8197677558150904	1.3527580291456962	1.342420037572643	1.6198407847514387	1.3241959849156344	1.7718504435213012
ABHD17A	0.21707889574128736	-0.1166709096129478	0.20054376996098694	-0.10257316797131162	0.5959548225042042	0.4116664727992239	0.19226547520086062	0.17064687136972131
ABHD17AP1	-0.4510603766777652	-0.24782645514104681	-0.3203795439213372	-0.468130000634944	-0.6308779003700814	-0.5629227094658855	-0.6407628351460615	-0.5381988037134147
ABHD17AP3	-0.2846164728854258	-0.4846954983625008	-0.2716635643961952	-0.5287075444406353	-0.5379920011751516	-0.6277553246066079	-0.5305246092704902	-0.6142851077931154
ABHD17AP4	-0.34890602849485947	-0.5205906292242187	-0.18411804449958893	-0.5416602379184171	-0.4481310717883726	-0.3288106838928056	-0.36200624982745616	-0.3845529316125015
ABHD17AP5	-0.5954371570952625	-0.1537668852230781	-0.6134450475771975	-0.5451510442294563	-0.40048031392749167	-0.3867401739314783	-0.6407628351460615	-0.6073048258592757
ABHD17AP6	-0.4935984319181493	-0.45758954609319097	-0.47420951369699094	-0.3749596128104201	-0.6308779003700814	-0.40239339328290696	-0.6407628351460615	-0.30404647335470647
ABHD17B	2.7921231288202204	3.1340746795073344	2.9674264126827636	2.7797103772461993	2.9081909092174976	3.10669594184715	2.9665146190381577	3.3573005148117265
ABHD17C	-0.5954370685116185	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.6308779003700814	-0.6277553246066079	-0.6407628351460615	-0.6717911416849182
ABHD18	0.8180145695656611	1.102760561127539	1.0300743087785849	0.7053453970491218	0.9250628749186367	0.9118803863176834	1.225178548910521	0.8755955943712025
ABHD2	-0.3362260561247966	-0.07941064251992998	-0.3110697204374685	-0.06121697144427502	-0.3128929529725812	-0.6277553246066079	-0.06832464448798516	-0.28494711832858544
ABHD3	0.04051415118346212	0.32315721473513803	0.33086121093091514	0.437656217994485	0.6233744920427301	0.16808607278933094	0.4565077764364855	0.48245670134868646
ABHD4	-0.15148037118541174	-0.4214441271599668	-0.17902112414150245	-0.13020869695877582	-0.32520691633993765	-0.20108616889756756	-0.3942664137224571	-0.14457758374786678
